Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,100000,Cheques,IFFCO TOKIO GIC LTD,IFFCO TOKIO GIC
,100000,Cheques,TATA AIG,TATA AIG
,100000,Cheques,BAJAJ ALLIANZ GEN INS COM,BAJAJ ALLIANZ GEN INS COM
,100100,Cheques,LIFE INSURANCE CORPORATION,LIFE INSURANCE CORPORATI
,100100,Cheques,LIFE INSURANCE CORPORATION,LIFE INSURANCE CORP OF IN
,100100,Cheques,HDFC STANDARD LIFE INSURANCE,HDFC STANDARD LIFE INSURA
,100100,Cheques,ICICI PRUDENTIAL LIFE INSURANCE,ICICI PRUDENTIAL LIF
,100100,Cheques,LIC OF INDIA,LIC
,100100,Cheques,LIFE INSURANCE CORPORATION,LIFE INSURANCE CORPORATIO
,100100,Cheques,LIC OF INDIA,LIC OF INDIA
,100100,Cheques,MAXLIFE INSURANCE,MAX LIFE INSURANCE COMPA
,100100,Cheques,SBI LIFE INSURANCE,SBI LIFE INSURANCE COMPAN
,100100,Cheques,,LIFE INSURANCE
,100100,Cheques,ICICI PRUDENTIAL LIFE INSURANCE,ICICI PRUDENTIAL LIFE
,100200,Cheques,APOLLO MUNICH HEALTH INSURANCE,AMHICL APOLLO MUNICH HEAL
,100200,Cheques,STAR HEALTH AND ALLIED INSURANCE,STAR HEALTH ALLIED INSURA
,100200,Cheques,STAR HEALTH AND ALLIED INSURANCE,STAR HEALTH AND ALLIED IN
,100300,Cheques,NICL,NICL
,100600,Cheques,BAJAJ ALLIANZ GENERAL INSURANCE,BAJAJ ALLIANZ GENERAL INS
,100600,Cheques,BAJAJ ALLIANZ GENERAL INSURANCE,BAJAJ ALLIANZ GIC
,100600,Cheques,CHOLAMANDALAM MS GENERAL INSURANCE,CHOLAMANDALAM MS GENERAL
,100600,Cheques,FUTURE GENERAL INDIA INSURANCE,FUTURE GENERALI INDIA INS
,100600,Cheques,HDFC ERGO GENERAL INSURANCE,HDFC ERGO GENERAL INSURAN
,100600,Cheques,ICICI LOMBARD GENERAL INSURANCE,ICICI LOMBARD
,100600,Cheques,ICICI LOMBARD GENERAL INSURANCE,ICICI LOMBARD GENERAL IN
,100600,Cheques,ICICI LOMBARD GENERAL INSURANCE,ICICI LOMBARD GENERA
,100600,Cheques,ICICI LOMBARD GENERAL INSURANCE,ICICI LOMBARD GIC
,100600,Cheques,IFFCO TOKIO GENERAL INSURANCE COMPANY LIMITED,IFFCO TOKIO GENERAL
,100600,Cheques,IFFCO TOKIO GENERAL INSURANCE COMPANY LIMITED,IFFCO TOKIO GENERAL INSUR
,100600,Cheques,LIBERTY GENERAL INSURANCE,LIBERTY GENERAL INSURANCE
,100600,Cheques,NATIONAL INSURANCE,NATIONAL INSURANCE CO LT
,100600,Cheques,ORIENTAL INSURANCE COMPANY LTD,ORIENTAL INSURANCE COMPA
,100600,Cheques,RELIANCE GENERAL INSURANCE COMPANY,RELIANCE GENERAL INSURANC
,100600,Cheques,SHRIRAM GENERAL INSURANCE COMPANY,SHRIRAM GENERAL INSURANCE
,100600,Cheques,TATA AIG GENERAL INSURANCE,TATA AIG GENERAL
,100600,Cheques,TATA AIG GENERAL INSURANCE,TATA AIG GENERAL INSURANC
,100600,Cheques,TATA AIG GENERAL INSURANCE,TATA AIG GENERAL INSURAN
,100600,Cheques,THE NEW INDIA ASSURANCE,THE NEW INDIA ASSURANCE C
,100600,Cheques,UNITED INDIA INSURANCE,UNITED INDIA INSURANCE
,110000,Cheques,SIEMENS FINANCE SERVICES,SIEMENS FINANCIAL SERVICE
,110100,Cheques,AXIS EQUITY FUND,AXIS LONG TERM EQUITY FUN
,110100,Cheques,MIRAE ASSET MF COLLECTION,MIRAE ASSET MF COLLECTION
,110300,Cheques,REGIONAL PROVIDENT FUND,REGIONAL PROVIDENT FUND
,120000,Cheques,HDFC BANK LTD LOAN AC,HDFC BANK LOAN AC
,120000,Cheques,NUN HDFC BANK LTD LOAN AC RA,NUN HDFC BANK LOAN AC RA
,120101,Cheques,LIC HOUSING FINANCE,LIC HOUSING FINANCE LIMIT
,120101,Cheques,PNB HOUSING FINANCE,PNB HOUSING FINANCE
,150000,Cheques,BANGALORE ONE,BANGALORE ONE
,150200,Cheques,COMPUAGE INFOCOM,COMPUAGE INFOCOM
,150200,Cheques,QUADRANT TELEVENTURES,QUADRANT TELEVENTURES LI
,150200,Cheques,ACT BROADBAND,ACT BROADBAND
,150200,Cheques,AIRTEL BROADBAND,AIRTEL BROADBAND
,150200,Cheques,CONNECT BROADBAND,CONNECT BROADBAND
,150200,Cheques,HATHWAY BROADBAND,HATHWAY BROADBAND
,150200,Cheques,SPECTRANET BROADBAND,SPECTRANET BROADBAND
,150200,Cheques,TATA DOCOMO,DOCOMO
,150200,Cheques,TIKONA DIGITAL NETWORKS PRIVATE LIMITED,TIKONA DIGITAL NETWORKS
,150200,Cheques,TTN BROADBAND,TTN BROADBAND
,150300,Cheques,AJMER VIDYUT VITRAN NIGAM LTD,AJMER VIDYUT VITARAN NIG
,150300,Cheques,BESCOM ELECTRICITY,BESCOM
,150300,Cheques,BEST,BEST
,150300,Cheques,BSES RAJDHANI POWER LIMITED,BSES RAJDHANI POWER
,150300,Cheques,BSES YAMUNA POWER LIMITED,BSES YAMUNA POWER
,150300,Cheques,BYPL CA NO,BYPL CA NO
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DAKSHIN GUJARAT VIJ COMPA
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DAKSHIN GUJARAT VIJ CO LT
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DAKSHIN GUJRAT VIJ COMPAN
,150300,Cheques,DAKSHIN HARYANA BIJLI VITRAN NIGAM,DAKSHIN HARYANA BIJLI VIT
,150300,Cheques,DGVCL,DGVCLSURAT INDUSTRIAL DI
,150300,Cheques,DHBVN,DHBVN
,150300,Cheques,EEEUDD VII,EEEUDD VII GHAZIABAD
,150300,Cheques,JAIPUR VIDYUT VITRAN NIGAM LIMITED,JAIPUR VIDYUT VITARAN NI
,150300,Cheques,JODHPUR VIDYUT VITRAN NIGAM LIMITED,JODHPUR VIDYUT VITARAN N
,150300,Cheques,KANPUR ELECTRICITY SUPPLY,KANPUR ELECTRICITY SUPPLY
,150300,Cheques,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED,MSEDCL
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LTD,PASCHIM GUJARAT VIJ COMP
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LTD,PASCHIM GUJARAT VIJ CO LT
,150300,Cheques,PUNJAB STATE POWER CORPORATION,PUNJAB STATE POWER CORP
,150300,Cheques,PUNJAB STATE POWER CORPORATION,PUNJAB STATE POWER CORPO
,150300,Cheques,PVVNL,PVVNL
,150300,Cheques,TATA POWER,TATA POWER CO
,150300,Cheques,TATA POWER,THE TATA POWER CO COL
,150300,Cheques,TATA POWER,TATA POWER HI DISTRIBU
,150300,Cheques,TSSPDCL,TSSPDCL
,150300,Cheques,UTTAR GUJARAT VIJ COMPANY LIMITED,UTTAR GUJARAT VIJ COMPAN
,150300,Cheques,BRPL,BRPL
,150300,Cheques,BYPL,BYPL
,150300,Cheques,PSPCL,PSPCL
,150300,Cheques,ASSAM POWER DISTRIBUTION COMPANY,ASSAM POWER DISTRIBUTION COMPANY
,150300,Cheques,ASSAM POWER DISTRIBUTION COMPANY,APDCL
,150300,Cheques,AJMER VIDYUT VITRAN NIGAM LTD,AJMER VIDYUT VITRAN NIGAM
